Product Identifier,Card Tier,High,Medium,Low
member-cash-rewards-plus, 1A ,8.54%,8.54%,8.54%
member-cash-rewards-plus, 2A ,9.54%,8.54%,8.54%
member-cash-rewards-plus, 3A ,10.54%,9.54%,8.54%
member-cash-rewards-plus, 4A ,11.54%,10.54%,9.54%
member-cash-rewards-plus, 5A ,12.54%,11.54%,10.54%
member-cash-rewards-plus, 6A ,14.54%,12.54%,11.54%
member-cash-rewards-plus, 7A ,14.54%,14.54%,12.54%
member-cash-rewards-plus, 8A ,14.54%,14.54%,14.54%
member-cash-rewards-plus, 1B ,11.54%,10.54%,9.54%
member-cash-rewards-plus, 2B ,12.54%,11.54%,10.54%
member-cash-rewards-plus, 3B ,14.54%,12.54%,11.54%
member-cash-rewards-plus, 4B ,14.54%,14.54%,12.54%
member-cash-rewards-plus, 5B ,14.54%,14.54%,14.54%
member-cash-rewards-plus, 6B ,14.54%,14.54%,14.54%
member-cash-rewards,  1A  ,8.54%,8.54%,8.54%
member-cash-rewards,  2A  ,9.54%,8.54%,8.54%
member-cash-rewards,  3A  ,10.54%,9.54%,8.54%
member-cash-rewards,  4A  ,11.54%,10.54%,9.54%
member-cash-rewards,  5A  ,12.54%,11.54%,10.54%
member-cash-rewards,  6A  ,14.54%,12.54%,11.54%
member-cash-rewards,  7A  ,14.54%,14.54%,12.54%
member-cash-rewards,  8A  ,14.54%,14.54%,14.54%
member-cash-rewards,  1B  ,11.54%,10.54%,9.54%
member-cash-rewards,  2B  ,12.54%,11.54%,10.54%
member-cash-rewards,  3B  ,14.54%,12.54%,11.54%
member-cash-rewards,  4B  ,14.54%,14.54%,12.54%
member-cash-rewards,  5B  ,14.54%,14.54%,14.54%
member-cash-rewards,  6B  ,14.54%,14.54%,14.54%
member-rate-advantage, 1A ,6.54%,5.54%,4.54%
member-rate-advantage, 2A ,7.54%,6.54%,5.54%
member-rate-advantage, 3A ,8.54%,7.54%,6.54%
member-rate-advantage, 4A ,10.54%,8.54%,7.54%
member-rate-advantage, 5A ,10.54%,10.54%,8.54%
member-rate-advantage, 6A ,10.54%,10.54%,10.54%
member-rate-advantage, 7A ,10.54%,10.54%,10.54%
member-rate-advantage, 8A ,10.54%,10.54%,10.54%
member-rate-advantage, 1B ,8.54%,7.54%,6.54%
member-rate-advantage, 2B ,10.54%,8.54%,7.54%
member-rate-advantage, 3B ,10.54%,10.54%,8.54%
member-rate-advantage, 4B ,10.54%,10.54%,10.54%
member-rate-advantage, 5B ,10.54%,10.54%,10.54%
member-rate-advantage, 6B ,10.54%,10.54%,10.54%
member-first, 1A ,15.04%,15.04%,15.04%
member-first, 2A ,15.04%,15.04%,15.04%
member-first, 3A ,15.04%,15.04%,15.04%
member-first, 4A ,15.04%,15.04%,15.04%
member-first, 5A ,15.04%,15.04%,15.04%
member-first, 6A ,15.04%,15.04%,15.04%
member-first, 7A ,15.04%,15.04%,15.04%
member-first, 8A ,15.04%,15.04%,15.04%
member-first, 1B ,15.04%,15.04%,15.04%
member-first, 2B ,15.04%,15.04%,15.04%
member-first, 3B ,15.04%,15.04%,15.04%
member-first, 4B ,15.04%,15.04%,15.04%
member-first, 5B ,15.04%,15.04%,15.04%
member-first, 6B ,15.04%,15.04%,15.04%
member-first,7B,15.04%,15.04%,15.04%
member-first,8B,15.04%,15.04%,15.04%
