"Source","Program","Code","Factor"
"Zest","Vehicle","ZV001","Amount past due on active accounts"
"Zest","Vehicle","ZV002","Amount past due on all accounts"
"Zest","Vehicle","ZV003","Amount past due on derogatory individual accounts"
"Zest","Vehicle","ZV004","Amount past due on individual accounts"
"Zest","Vehicle","ZV005","Amount past due on installment accounts"
"Zest","Vehicle","ZV006","Amount past due to high credit on active accounts"
"Zest","Vehicle","ZV007","Amount past due to high credit on all accounts"
"Zest","Vehicle","ZV008","Amount past due to high credit on auto accounts"
"Zest","Vehicle","ZV009","Amount past due to high credit on derogatory auto accounts"
"Zest","Vehicle","ZV010","Balances on collections accounts"
"Zest","Vehicle","ZV011","Credit limit amount on accounts with high credit utilization"
"Zest","Vehicle","ZV012","Credit limit amount on accounts with recent payment"
"Zest","Vehicle","ZV013","Credit limit amount on accounts without derogatory information"
"Zest","Vehicle","ZV014","Credit limit amount on active accounts"
"Zest","Vehicle","ZV015","Credit limit amount on all accounts"
"Zest","Vehicle","ZV016","Credit limit amount on auto accounts without derogatory information"
"Zest","Vehicle","ZV017","Credit limit amount on charge card accounts without derogatory information"
"Zest","Vehicle","ZV018","Credit limit amount on credit card accounts"
"Zest","Vehicle","ZV019","Credit limit amount on credit card accounts with high credit utilization"
"Zest","Vehicle","ZV020","Credit limit amount on credit card accounts without derogatory information"
"Zest","Vehicle","ZV021","Credit limit amount on derogatory auto accounts"
"Zest","Vehicle","ZV022","Credit limit amount on derogatory individual accounts"
"Zest","Vehicle","ZV023","Credit limit amount on individual accounts"
"Zest","Vehicle","ZV024","Credit limit amount on individual accounts with high credit utilization"
"Zest","Vehicle","ZV025","Credit limit amount on individual accounts without derogatory information"
"Zest","Vehicle","ZV026","Credit limit amount on joint accounts"
"Zest","Vehicle","ZV027","Credit limit amount on joint accounts with high credit utilization"
"Zest","Vehicle","ZV028","Credit limit amount on recently opened accounts"
"Zest","Vehicle","ZV029","Credit limit amount on revolving accounts"
"Zest","Vehicle","ZV030","Credit utilization on all accounts"
"Zest","Vehicle","ZV031","Credit utilization on all accounts without derogatory information"
"Zest","Vehicle","ZV032","Credit utilization on credit card accounts"
