DEALERSHIP NAME,S,W,Status,ADDRESS,CITY,ZIP CODE,DEALER #,DATE ADDED,COMMENTS
3 B Auto Center,X,,S,1002 9th ST,Modesto,95354,10048070,9/14/18,NO LOANS - Dealership Closed.
4H Auto Sales,X,,S,"1027 Alabama Street, Vallejo",Vallejo,94590,84128,1/16/14,Dealer refused to release title on vehicle and was abusive to staff.
5 Star Auto Enterprises Inc.,X,,S,"16157 Valley Blvd. 
(909) 320-7937 and (919) 320-7938",Fontana,92335,48693,5/9/13,Dealership does not have a valid license and closed 3/25/2013
5 Star Auto Enterprises Inc.,X,,S,1574 Jameson Ct. ,Riverside,92507,48693,5/9/13,"President: Jessical Del Angel. Additional dealership address 16157 Valley Blvd. Fontana, CA 92335."
562 Auto Exchange,X,,S,"13110 Lakewood Blvd. 
(310) 491-6984",BellFlower,90706,81667,2/13/18,
Ability Center,,X,W,"6550 Freeport Blvd. 
(916) 392-1196",Sacramento,95822,28228,1/15/16,Broker selling new vehicles. Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Ability Center,,X,W,"2715 Seaboard Ln. 
(562) 634-5962",Long Beach,90805,28228,1/15/16,Broker selling new vehicles. Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Ability Center,,X,W,"11600 Western Ave. 
(714) 890-8262",Stanton,92680,28228,1/15/16,Broker selling new vehicles. Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Ability Center,,X,W,"3548 Empleo St. 
(805) 549-7996 ",San Luis Obispo,93401,28228,1/15/16,Broker selling new vehicles. Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Ability Center,,X,W,"711 S Allen St. 
(909) 383-3883",San Bernardino,92408,28228,1/15/16,Broker selling new vehicles. Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Ability Center,,X,W,"4797 Ruffner St. 
(619) 541-0552",San Diego,92111,28228,1/15/16,Broker selling new vehicles. Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Ability Center,,X,W,2563 N Fordham Avenue,Fresno,93727,28228,2/27/17,Broker selling new vehicles. Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
About Time Auto Sales,,X,W,2264 Sierra Meadows Drive Suite B,Rocklin,95677,85405,2/25/15,Dealer is not completing DMV paperwork timely; Dealer must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV. 
Adams Car Connections INC,,X,W,1940 Zinfandel Dr.,Rancho Cordova,95670,66349,,MUST BRING TITLE TO ANY G1 BEFORE FUNDING.  
Agasis Auto Sales LLC,X,,S,"3068 Sunrise Blvd, Suite C",Rancho Cordova,95742,90572,1/26/17,Dealership closed.
Aldaz Automotive Center,X,,S,868 W Shaw Ave.,Clovis,93612,49945,1/21/16,NO LOANS - Dealership closed 12/08/2015
Alfa Auto Sales,X,,S,2557 Albatross Way,Sacramento,95815,,,
All Star Ford,X,,S,3800 Century Way,Pittsburg,94565,06539,9/5/13,Dealership not paying off G1 vehicles they have received in trade.
Amins Auto Sales,,X,W,1733 Fulton Avenue,Sacramento,95821,56417,,Owner Amin Maadarani.  DEALER MUST SUBMIT LETTER TO DEALER REVIEW COMMITTEE 8945 CAL CENTER DRIVE. 
Amins Auto Sales,,X,W,3181 Fulton Ave. Ste 1,Sacramento,95821,56417,,Owner Amin Maadarani.  DEALER MUST SUBMIT LETTER TO DEALER REVIEW COMMITTEE 8945 CAL CENTER DRIVE. 
Amins Auto Sales,,X,W,2320 Fulton Avenue,Sacramento,95821,59740,,Owner Amin Maadarani.  DEALER MUST SUBMIT LETTER TO DEALER REVIEW COMMITTEE 8945 CAL CENTER DRIVE. 
Antioch Motorcars,X,,S,1400 West 10TH Street,Antioch,94509,40316,,CLOSED
A-One Auto Center,X,,S,333 S. Waterman Avenue,San Bernardino,92408,66259,11/4/13,CLOSED
Arredondos Automotive,X,,S,16666 Foothill Blvd,Fontana,92335,87152,2/17/17,NO LOANS - Dealership closed
Ashur Motors,X,,S,9444 Greenback Lane,Orangevale,95662,85159,2/13/18,Out of business per DMV bond area.
Ask-N Auto Sales,X,,S,1000 Marin St Suite 1,Vallejo,94590,92028,11/3/17,NO LOANS – Filed on dealer bond and DMV complaint. Dealer will not return calls
Auto America,X,,S,2529 El Camino Ave #103,Sacramento,95821,92144,4/18/18,Dealership closed.
"Auto Barn, LLC",X,,S,2627 N Blackstone Ave,Fresno,93703,-,3/14/17,NO LOANS - Criminal Charges
Auto Center of Fresno,X,,S,6353 N Blackstone Ave,Fresno,93710,-,3/14/17,NO LOANS - Criminal Charges
Auto Collection,X,,S,6353 N Blackstone Ave,Fresno,93710,-,3/14/17,NO LOANS - Criminal Charges
Auto Deal,X,,S,6353 N Blackstone Ave,Fresno,93710,-,3/14/17,NO LOANS - Criminal Charges
Auto Emporium,X,,S,521 Charcot Ave STE 129,San Jose,95131,92800,9/14/18,NO LOANS - Dealership Closed.
Auto Mundo,X,,S,3250 Fulton Ave,Sacramento,95821,61244,,out of business
Auto Select,X,,S,4414 N Blackstone,Fresno,93726,98456,9/12/19,NO LOANS - Issues reported by DMV.
Auto Shopper,X,,S,4414 N Blackstone,Fresno,93726,49149,6/20/17,NO LOANS - Dealership closed
Auto Shopper America,X,,S,"4414 N Blackstone 
(559) 770-7272",Fresno,93726,92113,6/7/17,NO LOANS 
"Auto Star Motors, Inc",X,,S,1761 Fulton Avenue,Sacramento,95825,49582,8/30/17,Due to portfolio performance.
"Auto Star Motors, Inc",X,,S,4625 Auburn Blvd. Ste A,Sacramento,95841,49582,8/30/17,Due to portfolio performance.
Autoland LLC,,X,W,9121 Oakland Ave Ste 100,Chatsworth,91311,89304,8/30/17,Dealer is now a vehicle broker.  The broker must complete DMV paperwork at DMV and then 4 to 10 days must pass before funding for G1 to confirm change through DMV.
